"Project Title","Project Acronym","Project Description","Project ID","Finance Project Code","Finance Unit Code",Status,"Lockdown Status","Success Status","Assigned To","Duration (Years)","Project Dates Start","Project Dates End","Proposed End Date","Project Type","Project Activity Type",Tags,Funder,Scheme,"HESA Funder Category","VAT Code","VAT Review Complete?",Opportunity,"Name of Call","Sub-section of Call","URL of Call","URL of Sub-section","Funder Deadline","Award Ceiling","Bid Submitted Date","Supplement Submitted Date","Auto Progress Date","Bid Awarded Date","Supplement Awarded Date","Project Lead",Co-Investigator(s),"Other Editors",Visibility,"View Access","Lead Organisation","Paid via Lead Organisation",Collaborator(s),Subawardee(s),Partner(s),"Other Organisation(s)","Lead Subproject","Other Subprojects","All Subprojects","Lead Org Unit","Other Org Units","All Org Units","Lead Department","NHS Involvement","NHS Reference","Research Areas",Themes,"Research Centres/Groups",Countries,"Pre-award Liaison","Post-award Liaison",Portfolio,"Portfolio Group","Business Liaison","International Development Office Project","Project Phase","Supplementary T&Cs?","Supplementary T&C Details","Bid Restrictions?","Bid Restriction Details","Sponsor Data Retention Limit","Peer Review","Peer Review Notes","Willing to Peer Review Others","Project SharePoint Link","Ethics Implications","Resource Implications","Resource Implication Details","Rationale for Application to this Funder","Related Project(s)","Corporation Tax","Use Bid as a Learning Tool","Transferred In","Transferred In Date","Transferred From","Transferred Out","Transferred Out Date","Transferred To",Retrospective,"HESA Cost Centre","Funder Award Reference","Income Method","Unit of Assessment","HEBCI Main","HEBCI Sub","Material Code","Approved Date","Success Probability %","Lessons Learned Review Completed","Final Report Submitted","Location of Archived Hardcopy","Data Verification Override",Notes,"Price to Funder at Submit","Price to Funder","Cost to HEI at Submit","Cost to HEI","Cost to Funder at Submit","Cost to Funder","Surplus / -Deficit","% Recovery","Marginal Surplus / -Deficit","Marginal % Recovery","Contribution to Overheads","% Contribution to Overheads","Directly Incurred Expenditure Budget","Expenditure Budget","Actual Spend","Expenditure Balance","Committed Spend","Available Balance","Directly Incurred Costs","Directly Incurred Costs (ex Partner Costs)","Directly Incurred Expenditure Budget (ex Partner Costs)","Expenditure Budget (ex Partner Costs)","Actual Spend (ex Partner Costs)","Expenditure Balance (ex Partner Costs)","Committed Spend (ex Partner Costs)","Available Balance (ex Partner Costs)","Directly Incurred Non Staff Costs (ex Partner Costs)","Consumables Cost to HEI","Equipment Cost to HEI","Directly Allocated Costs","Directly Allocated Staff Costs","Estates Costs","Technician Costs","Indirect Costs","Exceptions Costs","Price to Funder (ex Partner Costs)","Price to Funder at Submit (ex Partner Costs)","Cost to HEI (ex Partner Costs)","Cost to HEI at Submit (ex Partner Costs)","Cost to Funder (ex Partner Costs)","Cost to Funder at Submit (ex Partner Costs)","Surplus / -Deficit (ex Partner Costs)","% Recovery (ex Partner Costs)","Marginal Surplus / -Deficit (ex Partner Costs)","Marginal % Recovery (ex Partner Costs)","Contribution to Overheads (ex Partner Costs)","% Contribution to Overheads (ex Partner Costs)",Updated,"Milestone Template","Public Status","Public URL",Created,"Created By","Last Event Date"
"DEVELOP IGAN. DevelopmEnt and Validation of complemEnt immunohistochemistry to",,,444877,RM61G0994,,"Project Live",Locked,Successful,"Jonathan Barratt (JB81),Post-award Admin,Pre-award Admin",2,2021-04-02,2023-04-01,,"RO - Standard Research",Research,"Legacy Project","OMEROS CORPORATION Omeros Corporation",,"Non EU (Overseas) Industry & Commerce",,,,,,,,,,"2021-07-07 00:00",,,2021-07-08,,"Jonathan Barratt (JB81)",,"Róisín Thomas (RCT21)","Only people involved in this project",,,Yes,,"Dummy Partner",,,"DEVELOP IGAN. DevelopmEnt and Validation of complemEnt immunohistochemistry to",,"DEVELOP IGAN. DevelopmEnt and Validation of complemEnt immunohistochemistry to","LS: Cardiovascular Sciences",,"LS: Cardiovascular Sciences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OMEROS PO4011296",,,,,,,,,,,,,0.00,305000.00,0.00,305021.69,0.00,305000.00,-21.69,99.99,1845.26,0.61,528.92,0.17,303154.74,305000.00,165106.00,139894.00,70.00,139824.00,303154.74,2962.74,2962.74,305000.00,165106.00,139894.00,70.00,139824.00,2962.74,2962.74,0.00,1430.72,1316.34,99.69,14.69,436.23,0.00,4808.00,0.00,4829.69,0.00,4808.00,0.00,-21.69,99.55,1845.26,38.38,528.92,11,"2023-06-19 10:18:03",,Discoverable,,"2022-11-18 09:48:30","David Downton (dd22)","2023-06-19 10:18"
"Improving risk stratification by developing targeted assays in asymptomatic aortic stenosis: a mixed agnostic and targeted proteomics study",,,553555,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",3,2024-01-01,2026-12-31,,"RO - Standard Research",Research,,"BHF British Heart Foundation","BRITISH HEART Default Scheme","UK Charities (Open Competition & External Peer Review)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"Project Grant",,https://www.bhf.org.uk/for-professionals/information-for-researchers/what-we-fund/project-grants,,,,"2023-06-19 09:50",,"2024-06-18 00:00",,,"Anvesha Singh (AS707)","Gerry McCann (GPM12),Leong Ng (LLN1),Donald Jones (DJLJ1),Thong Huy Cao (TCH10)",,"Only people involved in this project",,,Yes,"Partner not Listed,UNIVERSITY OF EDINBURGH",,,,"LS: Cardiovascular Sciences","LS/GG: Cancer Research Centre","LS/GG: Cancer Research Centre,LS: Cardiovascular Sciences","LS: Cardiovascular Sciences","LS/GG: Cancer Research Centre","LS/GG: Cancer Research Centre,LS: Cardiovascular Sciences",,,,,,"99 - Not Applicable for Institute reporting",,"Kerry Warner (KW153)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Clinical medicine",,,,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-06-19 09:33",,,,,,"Resubmission (incorporating Reviewer's comments) of RM61G1080/45500",271079.00,271079.00,719000.42,719000.42,271079.00,271079.00,-447921.42,37.7,-720.89,-0.27,-137128.11,-50.59,271079.00,271079.00,0.00,271079.00,0.00,271079.00,271799.90,271799.90,271079.00,271079.00,0.00,271079.00,0.00,271079.00,78404.40,66600.00,0.00,227454.19,136407.21,66427.80,8014.20,219746.33,0.00,271079.00,271079.00,698238.31,698238.31,271079.00,271079.00,-427159.31,38.82,-720.89,-0.27,-137128.11,-50.59,"2023-06-19 09:53:50",,Discoverable,,"2023-05-17 13:20:28","Anvesha Singh (AS707)","2023-06-26 10:09"
"Ultrasonic delamination and relithiation of electrode materials","Nissan 2","This proposal details a 9 month project to quantify the efficiency and reproducibility of the ultrasonic delamination method developed by the University of Leicester using  Nissan Motor Co., Ltd cells.
The study will also investigate the regeneration of electrode materials.",565091,,,"Bid Submission",Locked,Pending,"Pre-award Admin",1,2023-07-01,2024-03-31,,"RO - Standard Research",Research,,"Nissan Motor Manufacturing (UK) Limited","Nissan Motor Manufacturing (UK) Limited Default Scheme","UK Industry & Commerce","YS Income - Standard Rated 20% VAT",,,,,,,,,,,,,,"Andy Abbott (APA1)",,"Jack Allen (JA462)","Only people involved in this project",,,Yes,,,,,"SE/CH: Materials & Interfaces",,"SE/CH: Materials & Interfaces","SE/CH: Materials & Interfaces",,"SE/CH: Materials & Interfaces",,No,,,,"99 - Not Applicable for Institute reporting",,"Sara Mounteney (SLM81)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-06-19 09:19",,,,,,"Follow on from RP10G0617",,113452.95,,94679.63,,94544.13,18773.33,119.83,78354.52,69.06,73154.18,64.48,34988.80,94544.13,0.00,94544.13,0.00,94544.13,35098.43,35098.43,34988.80,94544.13,0.00,94544.13,0.00,94544.13,6000.00,6000.00,0.00,19158.22,5200.35,12455.21,1502.66,40422.98,0.00,113452.95,,94679.63,,94544.13,,18773.33,119.83,78354.52,69.06,73154.18,64.48,"2023-06-19 09:19:05",,Discoverable,,"2023-06-08 14:41:28","Andy Abbott (APA1)","2023-07-06 16:25"
"Space Weather Impacts: Next Generation",SWING,"A NERC Doctoral Training Programme for Space Weather",563081,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",7,2024-10-01,2030-10-01,,"TS - Studentship",Studentship,,"NERC NERC (Nat. Environment Res Coun)","NERC Default Scheme","Research Councils - NERC","Y6 Income - Outside the Scope",,,"NERC centre for doctoral training: open funding opportunity",,https://www.ukri.org/opportunity/nerc-centre-for-doctoral-training-open-funding-opportunity/,,"2023-06-13 16:00",2600000.00,"2023-06-14 12:00",,"2024-06-13 00:00",,,"Suzanne Imber (SI88)","Timothy Yeoman (YXO),Stephen Milan (ETS),Jennifer Carter (JAC48)","Alex Goddard (AJG29),Clare Edwards (CEE18),Anne Edwards (AE140)","Only people involved in this project",,"University of Northumbria at Newcastle",Yes,,"British Antarctic Survey,British Geological Survey,Lancaster University,University of Southampton",,,"SE/PA: Planetary Science",,"SE/PA: Planetary Science","SE/PA: Planetary Science",,"SE/PA: Planetary Science",,,,,,,,"Sue Atkinson (SAM45)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,"EoI/Outline Application (budget required)",,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-06-09 11:58",,,,,,,600336.00,600336.00,658722.44,658722.44,600336.00,600336.00,-58386.44,91.14,-58386.44,-9.73,-58386.44,-9.73,600336.00,600336.00,0.00,600336.00,0.00,600336.00,658722.44,658722.44,600336.00,600336.00,0.00,600336.00,0.00,600336.00,211794.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600336.00,600336.00,658722.44,658722.44,600336.00,600336.00,-58386.44,91.14,-58386.44,-9.73,-58386.44,-9.73,"2023-06-16 17:11:16",,Private,,"2023-06-06 13:41:26","Suzanne Imber (SI88)","2023-06-16 17:11"
"Water Vapour_cci Phase 2 (CCN3 to RP18G0045) new record",,"CCN Proposal to ESA Contract 4000123554/18/I-NB Water Vapour_cci(WV-cci)",475309,RP18W475309,,"Project Live",Locked,Successful,"John Remedios (JJR8),Post-award Admin,Pre-award Admin,Sophie Bricknell (SLB94),Tim Trent (TJT11)",4,2022-06-16,2025-06-16,,"RO - Standard Research",Research,,"ESA/ESRIN ESA ESRIN","ESA/ESRIN Default Scheme","EU Other (Including non-competitive Based Charities)","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,,,,,,,"2023-01-28 14:56",,"2024-01-28 00:00",2023-01-28,,"Tim Trent (TJT11)","John Remedios (JJR8)","Sophie Bricknell (SLB94)","Only people involved in this project",,"University of Reading",Yes,,,,,"SE/PA: National Centre for Earth Obs'",,"SE/PA: National Centre for Earth Obs'","SE/PA: National Centre for Earth Obs'",,"SE/PA: National Centre for Earth Obs'",,No,,,,"99 - Not Applicable for Institute reporting",,"Sue Atkinson (SAM45)","Viral Patel (VP186)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,Physics,4000123554/18/I-NB,"15 - Invoice to be Raised - Fixed Price",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-01-28 14:56",,,,,,"SAP GM record RP18G0112; continuation (CCN3) of RP18G0045; due to large gap in RP18G0045 ending and ESA issuing the CCN JM advised new project be set up;",40655.01,38461.54,40726.37,42087.53,40655.01,38461.54,-3625.99,91.38,20034.45,52.09,20034.45,52.09,18765.04,38461.54,104.42,38357.12,0.00,38357.12,18427.09,18427.09,18765.04,38461.54,104.42,38357.12,0.00,38357.12,434.78,0.00,0.00,6072.90,0.00,5419.11,653.79,17587.54,0.00,38461.54,40655.01,42087.53,40726.37,38461.54,40655.01,-3625.99,91.38,20034.45,52.09,20034.45,52.09,"2023-06-16 14:34:24",,Discoverable,,"2023-01-28 14:38:35","Sue Atkinson (SAM45)","2023-06-16 14:34"
"World Peatlands",,,567059,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",2,2023-06-01,2025-05-31,,"RO - Standard Research",Research,,"ESA-ESTEC European Space Agency","ESA-ESTEC Default Scheme","EU Other (Including non-competitive Based Charities)","Y5 Income - Services to EU - Zero Rate",,,,,,,,,"2023-06-16 12:58",,"2024-06-15 00:00",,,"Kevin Tansey (KJT7)","Susan Page (SEP5)",,"Only people involved in this project",,,Yes,,,,,"SE/GE: Physical Geography",,"SE/GE: Physical Geography","SE/GE: Physical Geography",,"SE/GE: Physical Geography",,,,,,"99 - Not Applicable for Institute reporting",,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-06-16 12:58",,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,"2023-06-16 12:58:08",,Private,,"2023-06-13 13:51:12","Gary Mawby (GM276)","2023-10-04 14:08"
"Contrast-free evaluation of scarring within the heart using cardiovascular magnetic resonance imaging",CONFIRM,"Heart disease costs the NHS over £9billion annually.  Each year, over 100,000 people suffer a heart attack, resulting in permanent scarring of their heart. Survivors are at increased risk of sudden death or developing heart failure, a debilitating condition. Currently, doctors do not have very good tools to predict who will and will not develop complications.   

Pictures of ‘scarring’ within the heart can be obtained using magnetic resonance imaging (MRI), after giving patients a ‘dye’ (a gadolinium compound). This provides an accurate method to identify even small heart attacks. However, giving this dye adds cost, and it is not safe in some people (with advanced kidney disease or allergic reactions); its long-term effects are also currently unknown. Moving ‘cine’ images of the heart are routinely acquired, and do not require any dye to be given. Hence, it would be advantageous to use these dye-free images to identify scar. This project aims to develop and test a fully automatic computer program using artificial intelligence (AI) to ‘convert’ the dye-free images into scar images. Hence, a new method to identify scarring within the heart will be developed and validated.",512567,,,"Bid Unsuccessful",Locked,Unsuccessful,"Gerry McCann (GPM12),Kerry Warner (KW153),Pre-award Admin,Ranjit Arnold (JRA14),Sally Utton (SU47),Shuihua Wang (SW546)",2,2023-10-01,2025-03-31,,"RO - Standard Research",Research,,"UKRI UK Research and Innovation UKRI","UKRI Default Scheme","Research Councils - UKRI","Y6 Income - Outside the Scope",,,"Artificial intelligence innovation to accelerate health research",,https://www.ukri.org/opportunity/artificial-intelligence-innovation-to-accelerate-health-research/,https://www.ukri.org/wp-content/uploads/2023/02/UKRI-22022023-UKRI-Artificial-intelligence-innovation-to-accelerate-health-research-webinar-QA-FINAL.pdf,"2023-03-28 11:25",750000.00,"2023-03-28 13:22",,"2024-03-27 00:00",,,"Gerry McCann (GPM12)","Shuihua Wang (SW546),Ranjit Arnold (JRA14)","Kerry Warner (KW153),Sally Utton (SU47)","Only people involved in this project",,,Yes,,"King's College London,University of Birmingham",,,"LS: Cardiovascular Sciences","Computing and Mathematical Sciences","Computing and Mathematical Sciences,LS: Cardiovascular Sciences","LS: Cardiovascular Sciences","SE/CM: Computing Sciences","LS: Cardiovascular Sciences,SE/CM: Computing Sciences",,,,,,"99 - Not Applicable for Institute reporting",,"Kerry Warner (KW153)",,"Pre-award Admin (Bid Development)","Pre-award Admin","Carl Edwards (CE133)",,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,"2023-03-27 23:47",,,,,,,568135.59,568135.59,721020.15,721020.15,710169.49,710169.49,-152884.56,78.8,189384.49,33.33,132722.49,23.36,368957.60,710169.49,0.00,710169.49,0.00,710169.49,378751.10,378551.10,368757.60,710169.49,0.00,710169.49,0.00,710169.49,154224.70,7200.00,0.00,162690.38,56662.00,48291.26,5826.11,179578.68,0.00,508165.99,508165.99,646058.15,646058.15,635207.49,635207.49,-137892.16,78.66,129614.89,25.51,72952.89,14.36,"2023-06-16 12:43:07",,Discoverable,,"2023-03-06 11:22:12","Ranjit Arnold (JRA14)","2023-06-16 12:44"
"Artificial intelligence based image enhancement and object detection",,"In this project, we will propose new technologies to enhance the quality of images collected on see so that the objects in the images can be effectively identified. In the meantime, we will propose new technologies for object detection and recognition in radar images.",561887,,,"Bid Development",,Pending,"Ashiq Anjum (AA1180),Huiyu Zhou (HZ143),Lu Liu (LL297),Pre-award Admin,Rajeev Raman (RR29),Shuihua Wang (SW546)",3,2023-09-01,2025-09-30,,"RO - Standard Research",Research,,"Funder not listed - UK Charity","Funder not listed - UK Charity Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,,,,,,,,,,,,"Huiyu Zhou (HZ143)","Ashiq Anjum (AA1180),Lu Liu (LL297),Rajeev Raman (RR29),Shuihua Wang (SW546)",,"Only people involved in this project",,,Yes,,,,"Jiangsu Ocean University","SE/CM: Computing Sciences",,"SE/CM: Computing Sciences","SE/CM: Computing Sciences",,"SE/CM: Computing Sciences",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,"This project literally lasts 25 months, supported by Jiangsu Ocean University, China. Please amend the funder/scheme.",,309609.27,,717828.09,,309609.27,-408218.81,43.13,-928.33,-0.3,-94767.98,-30.61,309609.27,309609.27,0.00,309609.27,0.00,309609.27,310537.60,310537.60,309609.27,309609.27,0.00,309609.27,0.00,309609.27,62000.00,27000.00,0.00,129530.28,93839.66,35690.63,0.00,277760.21,0.00,309609.27,,717828.09,,309609.27,,-408218.81,43.13,-928.33,-0.3,-94767.98,-30.61,"2023-06-16 09:24:08",,Private,,"2023-06-04 10:08:41","Huiyu Zhou (HZ143)","2023-08-15 18:13"
"Regulation of the X chromosome in pluripotency, development and disease","AMS Springboard","Successful development requires a unique regulation of gene expression on the X chromosome due to the different number of X chromosomes between males and females. In placental mammals, X chromosome dosage compensation occurs by X chromosome inactivation (XCI), which transcriptionally silences most genes on one of the two X chromosomes in females and thereby equalizes X-linked gene expression with XY males. The silenced state of the inactive X (Xi) will be remembered by daughter cells and play a crucial role in cell physiology. Its dysregulation is involved in over 500 X-linked diseases including immune diseases, cancer and during ageing. In the blastocyst, the long non-coding RNA XIST is expressed from one of the two active X chromosomes to trigger and mediate XCI. XIST functions by recruiting dozens of effectors proteins. In the mouse, I recently showed that XIST functions by seeding large macromolecular assemblies of silencing proteins. I also revealed that perturbations in protein-protein interactions within XIST assemblies leads to partial or complete X chromosome reactivation (XCR). 

hPSCs are critical to cell therapies and modelling gene regulation in early human embryonic development, which is vital to understanding what is required for a healthy pregnancy. Naïve and primed hPSCs, correspond to the pluripotency states of pre- and post-implantation epiblasts. XCI is essential to cell identity and physiology and the epigenetic instability of the Xi in female human pluripotent stem cells (hPSCs), owing to partial XCR occurring with prolonged culturing, generates a huge obstacle for their applicability in regenerative medicine. The formation, composition and regulation of XIST assemblies in hPSCs and what are the differences between naïve and primed hPSCs remain unknown. Furthermore, we still lack knowledge on how we can completely reprogram primed to naïve hPSCs to revert XIST expression and reactivate a wild-type X chromosome in diseases where a mutant X is active, for example in the Rett syndrome.",549161,,,"Bid Awaiting Response",Locked,Pending,"Pre-award Admin",2,2024-03-01,2026-02-28,,"RF - Research Fellowship",Research,"Legacy Project Cancer","ACADEMY OF MEDICAL S The Academy of Medical Sciences","ACADEMY OF MEDICAL S Default Scheme","UK Charities (Open Competition & External Peer Review)","Y6 Income - Outside the Scope",,,"Springboard round 9",,https://acmedsci.ac.uk/grants-and-schemes/grant-schemes/springboard,,"2023-06-15 16:00",125000.00,"2023-06-15 12:30",,"2024-06-14 00:00",,,"Yolanda Markaki (GM365)",,,"Only people involved in this project",,,Yes,,,,,"LS: Molecular & Cell Biology",,"LS: Molecular & Cell Biology","LS: Molecular & Cell Biology",,"LS: Molecular & Cell Biology",,No,,,,"99 - Not Applicable for Institute reporting",,"Kerry Warner (KW153)",,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-06-13 13:05",,,,,,"I am not entirely sure if the cap can go up to £150000",124392.00,124392.00,162090.86,162090.86,124392.00,124392.00,-37698.86,76.74,5100.00,4.1,-14281.10,-11.48,119292.00,124392.00,0.00,124392.00,0.00,124392.00,119292.00,119292.00,119292.00,124392.00,0.00,124392.00,0.00,124392.00,119292.00,36570.00,58082.00,29182.70,19381.10,4195.44,506.16,13616.16,0.00,124392.00,124392.00,162090.86,162090.86,124392.00,124392.00,-37698.86,76.74,5100.00,4.1,-14281.10,-11.48,"2023-06-15 17:48:47",,Discoverable,,"2023-05-10 13:46:33","Yolanda Markaki (GM365)","2023-06-15 17:48"
"HWO-EES: Habitable Worlds Observatory - Early Engagement Support",HWO-EES,"The Habitable Worlds Observatory (HWO) has been selected by NASA as its next flagship space astronomy mission, following on from Hubble, Webb and Rubin telescopes. A principal scientific goal of HWO is to search for Earth-like planets in nearby interstellar space (within a few 10s of parsecs) and characterise their surfaces and/or atmospheres through direct spectroscopic observations in the search for evidence of life processes. This programme will answer the question “Are We Alone?”, one of the most exciting and fundamental in modern science. If no direct evidence for life is found, by surveying a sufficiently large population of objects, it will be possible to provide important and interesting constraints on the presence of life in the Galaxy. Like Hubble and Webb, HWO will also be a general-purpose observatory able to provide revolutionary capability in many areas of astrophysics and planetary science. As with Hubble and Webb before, the timescale for development, build and launch of HWO is measured in decades, with an expected launch in the early 2040s (although it is hoped to accelerate work to bring this forward). HWO is currently planned to be a 6-m aperture UVOIR telescope. Detailed design of the mission, examination of its science goals and development of instrumentation is beginning now, with key meetings already organised this year.",553016,RP16W553016,,"Project Live",Locked,Successful,"Jon Lapington (JSL12),Jonathan Nichols (JDN4),Leigh Fletcher (LNF2),Martin Barstow (MAB),Matthew Burleigh (MRB1),Nigel Bannister (NB101),Post-award Admin,Pre-award Admin,Sarah Casewell (SLC25)",1,2023-07-01,2024-06-30,,"RV - Research Travel Only",Research,,"STFC Science & Technology Facilities Cnl","STFC Default Scheme","Research Councils - STFC","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,N/A,,N/A,,"2023-06-30 23:55",10000.00,"2023-05-25 16:08",,"2024-05-24 00:00",2023-06-13,,"Martin Barstow (MAB)","Nigel Bannister (NB101),Leigh Fletcher (LNF2),Jonathan Nichols (JDN4),Jon Lapington (JSL12),Sarah Casewell (SLC25),Matthew Burleigh (MRB1)",,"Only people involved in this project",,,Yes,,,,,"SE/PA: Physics & Astronomy","SE/PA: Planetary Science,SE/PA: Space Research Centre,SE/PA: Xray and Observational Astronomy","SE/PA: Physics & Astronomy,SE/PA: Planetary Science,SE/PA: Space Research Centre,SE/PA: Xray and Observational Astronomy","SE/PA: Physics & Astronomy","SE/PA: Planetary Science,SE/PA: Space Research Centre,SE/PA: Xray and Observational Astronomy","SE/PA: Physics & Astronomy,SE/PA: Planetary Science,SE/PA: Space Research Centre,SE/PA: Xray and Observational Astronomy",,No,,,,"99 - Not Applicable for Institute reporting",,"Sara Mounteney (SLM81)","Peter Creese (PC326)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,Physics,ST/Y003691/1,"12 - Claim to be submitted - Actual Costs",,"Not Applicable for HEBCI","Not applicable for HEBCI",,"2023-05-25 14:26",,,,,,,10000.00,10248.00,48881.25,48881.25,48682.60,10248.00,-38633.25,20.97,248.00,2.42,-23368.45,-228.03,10248.00,10248.00,0.00,10248.00,0.00,10248.00,10000.00,10000.00,10248.00,10248.00,0.00,10248.00,0.00,10248.00,10000.00,2000.00,0.00,27534.45,23616.45,3496.20,421.80,11346.80,0.00,10248.00,10000.00,48881.25,48881.25,10248.00,48682.60,-38633.25,20.97,248.00,2.42,-23368.45,-228.03,"2023-06-15 17:30:07",,Discoverable,,"2023-05-16 15:19:22","Martin Barstow (MAB)","2023-06-15 17:30"
"BI project WP3: MDM2 and TEAD inhibitor interactions in mesothelioma",MDM2/TEAD,"This is the third workpackage that will accompany projects 494382 and 499242
Funding is for consumables only. Raw costs have been forwarded to Rebecca Hames",568403,,,"Bid Development",,Pending,"Dean Fennell (DF132),Pre-award Admin,Rebecca Hames (RSH27),Reuben Sneller (RS648)",1,2023-07-01,2024-06-30,,"RO - Standard Research",Research,,"Boehringer Ingelheim International GmbH","Boehringer Ingelheim International GmbH Default Scheme","EU Industry, Commerce & Public Corporations","Y5 Income - Services to EU - Zero Rate",,,"not applicable",,"not applicable",,,,,,,,,"Dean Fennell (DF132)",,"Rebecca Hames (RSH27),Reuben Sneller (RS648)","Only people involved in this project",,,Yes,,,,"Boehringer Ingelheim International GmbH","LS/GG: Cancer Research Centre",,"LS/GG: Cancer Research Centre","LS/GG: Cancer Research Centre",,"LS/GG: Cancer Research Centre",,,,,,,,,,"Pre-award Admin (Bid Development)","Pre-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,"Theme is cancer, mesothelioma",,11079.12,,9232.60,,9232.60,1846.52,120,1846.52,16.67,1846.52,16.67,9232.60,9232.60,0.00,9232.60,0.00,9232.60,9232.60,9232.60,9232.60,9232.60,0.00,9232.60,0.00,9232.60,9232.60,9232.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11079.12,,9232.60,,9232.60,,1846.52,120,1846.52,16.67,1846.52,16.67,"2023-06-15 14:56:27",,Private,,"2023-06-15 14:32:29","Dean Fennell (DF132)","2023-06-15 15:01"
"Learning network for Advanced Behavioural Data Analysis (LABDA)",LABDA,"Learning network for Advanced Behavioural Data Analysis (LABDA)",485170,RM65W485170,,"Project Live",Locked,Successful,"Alex Rowlands (AVR4),Post-award Admin,Pre-award Admin",4,2023-05-01,2027-04-30,,"RF - Research Fellowship",Research,,"EPSRC HEG EPSRC - Horizon Europe Guarantee","EPSRC HEG Default Scheme","Research Councils - EPSRC","T3 - 20% VAT on Expenditure - not recoverable,Y6 Income - Outside the Scope",,,"Horizon Europe Guarantee MSCA Doctoral Networks 2021",,,,,,"2023-02-07 16:26",,"2024-02-07 00:00",2023-02-07,,"Alex Rowlands (AVR4)",,,"Only people involved in this project",,"Glasgow Caledonian University,STICHTING VUMC",Yes,,,"Activinsights,University of Agder",,"LS/HS: Diabetes",,"LS/HS: Diabetes","LS/HS: Diabetes",,"LS/HS: Diabetes",,Yes,,,,"99 - Not Applicable for Institute reporting","DENMARK,FRANCE,NETHERLANDS,NORWAY,UNITED KINGDOM","Edith Gomez (EG251)","Trishie Kupara (TK236)","Post-award Admin (Project Setup)","Post-award Admin",,,,,,,,,,,,,,No,,,,,,,,,,,,,"Clinical medicine",EP/X042464/1,"10 - Automatic payment by Funder - Actual Costs",,"Not Applicable for HEBCI",,,"2023-02-07 16:26",,,,,,"Post award admin: in offer letter - funding is giving to us in pounds but the funder reserved the right to change the 'exchange rate'.

Call condition 2: Exchange rate
UKRI shall be permitted to change the GBP (£) value of the grant where in UKRI's opinion there is a significant fluctuation in the
GBP: EUR exchange rate from the exchange rate previously used to calculate the GBP (£) value of the outstanding grant sum
provided always that:
i. the GBP value of the grant shall not change more than once in any 12-month period; and
ii. the revaluation process shall not affect payments which have already been made to the Recipient.",265251.81,265251.81,639564.47,620949.46,456101.34,380264.34,-355697.65,42.72,36980.72,13.94,-1257.04,-0.47,228021.78,380264.34,2704.10,377560.24,255.60,377304.64,228271.09,208415.09,208165.78,380264.34,2704.10,377560.24,255.60,377304.64,29784.02,0.00,0.00,124433.75,38237.75,76916.40,9279.60,268244.61,0.00,226780.80,265251.81,582478.45,639564.47,341793.33,456101.34,-355697.65,38.93,18365.71,8.1,-19872.05,-8.76,"2023-06-15 13:22:05",,Discoverable,,"2023-02-07 11:17:17","Edith Gomez (EG251)","2023-09-27 12:17"
